"NAME","GM","W.L","PTS","PPG","OPP.PTS","OPP.PPG","PTS","PPG","OPP.PTS","OPP.PPG","SCR.MAR","FGM","FGA","FG.","OPP.FG","OPP.FGA","OPP.FG.","X3FG","X3PG","X3FG","X3FGA","X3FG.","FT","FTA","FT.","REB","RPG","OPP.REB","OPP.RPG","REB.MAR","AST","APG","BLKS","BKPG","ST","STPG","TO","TOPG","yr","win","loss"
"Mississippi St.","33","21-12","2334","70.7",NA,NA,"2334","70.7","1993","60.4","10.3",NA,NA,NA,NA,NA,NA,"235","7.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"488","14.8",NA,NA,NA,NA,"518","15.7",2019,"21","12"
"Princeton","29","26-3","2051","70.7","1520","52.4","2051","70.7","1520","52.4","18.3","784","1784","43.9","424","116","27.4",NA,NA,"158","445","35.5",NA,NA,NA,"1187","40.9","1027","35.4","5.5",NA,NA,"133","4.6",NA,NA,"415","14.3",2019,"26","3"
"Boise St.","31","19-12","2181","70.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,"19","12"
"St. John's (NY)","32","25-7","2247","70.2","1846","57.7","2247","70.2","1846","57.7","12.5",NA,NA,NA,"421","115","27.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"481","15.0",2019,"25","7"
"Illinois St.","33","26-7","2316","70.2",NA,NA,"2316","70.2","2004","60.7","9.5","831","1859","44.7",NA,NA,NA,NA,NA,"189","533","35.5","465","574","81.0","1293","39.2","1100","33.3","5.8",NA,NA,NA,NA,NA,NA,"507","15.4",2019,"26","7"
"Maryland","33","21-12","2316","70.2",NA,NA,NA,NA,NA,NA,NA,"854","1956","43.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1453","44.0","1140","34.5","9.5",NA,NA,NA,NA,NA,NA,NA,NA,2019,"21","12"
"Oral Roberts","33","23-10","2807","85.1",NA,NA,"2807","85.1","2410","73.0","12.0","971","2258","43.0",NA,NA,NA,"304","9.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"529","16.0",NA,NA,"519","15.7",NA,NA,2020,"23","10"
"Connecticut","35","35-0","2875","82.1","1618","46.2","2875","82.1","1618","46.2","35.9","1101","2111","52.2","610","146","23.9",NA,NA,NA,NA,NA,"468","639","73.2","1536","43.9","1076","30.7","13.1","698","19.9","199","5.7",NA,NA,"521","14.9",2020,"35","0"
"Oregon","33","18-15","2710","82.1",NA,NA,NA,NA,NA,NA,NA,"990","2286","43.3",NA,NA,NA,"276","8.4","276","767","36.0",NA,NA,NA,NA,NA,NA,NA,NA,"501","15.2",NA,NA,NA,NA,NA,NA,2020,"18","15"
"Middle Tenn.","31","25-6","2506","80.8",NA,NA,"2506","80.8","1990","64.2","16.6","911","1981","46.0",NA,NA,NA,"313","10.1","313","847","37.0","371","501","74.1",NA,NA,NA,NA,NA,"552","17.8",NA,NA,"380","12.3",NA,NA,2020,"25","6"
"Gonzaga","33","29-4","2663","80.7",NA,NA,"2663","80.7","1934","58.6","22.1","1050","2201","47.7",NA,NA,NA,NA,NA,NA,NA,NA,"400","543","73.7","1369","41.5","1218","36.9","4.6","638","19.3","156","4.7","367","11.1",NA,NA,2020,"29","4"
"Sacramento St.","30","15-15","2374","79.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"264","8.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"522","17.4",NA,NA,"318","10.6",NA,NA,2020,"15","15"
"Stephen F. Austin","29","18-11","2270","78.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"207","7.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"442","15.2",NA,NA,"321","11.1",NA,NA,2020,"18","11"
"Ohio St.","36","31-5","2807","78.0",NA,NA,"2807","78.0","2237","62.1","15.8","998","2179","45.8",NA,NA,NA,"238","6.6","238","592","40.2","573","753","76.1","1470","40.8","1256","34.9","5.9","619","17.2",NA,NA,NA,NA,"539","15.0",2020,"31","5"
"East Tenn. St.","32","23-9","2491","77.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"222","6.9","222","620","35.8","509","680","74.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,"23","9"
"Stanford","34","33-1","2643","77.7","1841","54.1","2643","77.7","1841","54.1","23.6","973","2042","47.6","546","140","25.6",NA,NA,NA,NA,NA,"478","650","73.5","1521","44.7","1110","32.6","12.1","610","17.9",NA,NA,NA,NA,"482","14.2",2020,"33","1"
"Nebraska","33","32-1","2565","77.7","1907","57.8","2565","77.7","1907","57.8","19.9","882","1916","46.0","487","137","28.1","220","6.7",NA,NA,NA,NA,NA,NA,"1287","39.0","1119","33.9","5.1",NA,NA,NA,NA,NA,NA,"486","14.7",2020,"32","1"
"Notre Dame","34","29-5","2629","77.3",NA,NA,"2629","77.3","2104","61.9","15.4","969","2133","45.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"619","18.2",NA,NA,"439","12.9",NA,NA,2020,"29","5"
"Missouri St.","32","22-10","2457","76.8",NA,NA,NA,NA,NA,NA,NA,"841","1933","43.5",NA,NA,NA,NA,NA,"197","534","36.9","578","763","75.8",NA,NA,NA,NA,NA,"479","15.0",NA,NA,"337","10.5",NA,NA,2020,"22","10"
"North Carolina","31","19-12","2371","76.5",NA,NA,"2371","76.5","2082","67.2","9.3",NA,NA,NA,"624","159","25.5",NA,NA,NA,NA,NA,NA,NA,NA,"1450","46.8","1307","42.2","4.6","477","15.4","177","5.7","338","10.9",NA,NA,2020,"19","12"
"Texas A&M","34","26-8","2567","75.5",NA,NA,"2567","75.5","2051","60.3","15.2","987","2151","45.9","484","139","28.7",NA,NA,"142","399","35.6",NA,NA,NA,NA,NA,NA,NA,NA,"550","16.2","171","5.0","347","10.2","523","15.4",2020,"26","8"
"Lamar","34","26-8","2549","75.0",NA,NA,"2549","75.0","2232","65.6","9.3",NA,NA,NA,NA,NA,NA,"243","7.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"589","17.3",NA,NA,NA,NA,NA,NA,2020,"26","8"
"Miami (FL)","32","19-13","2399","75.0",NA,NA,"2399","75.0","2108","65.9","9.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"140","4.4","364","11.4",NA,NA,2020,"19","13"
"Tennessee","34","32-2","2538","74.6","1920","56.5","2538","74.6","1920","56.5","18.2","979","2105","46.5",NA,NA,NA,NA,NA,"182","482","37.8",NA,NA,NA,"1477","43.4","1148","33.8","9.7","537","15.8","223","6.6",NA,NA,"499","14.7",2020,"32","2"
"Florida St.","33","28-5","2458","74.5",NA,NA,"2458","74.5","1968","59.6","14.8","871","1959","44.5","593","164","27.7",NA,NA,"202","529","38.2",NA,NA,NA,"1382","41.9","1146","34.7","7.2","516","15.6",NA,NA,NA,NA,NA,NA,2020,"28","5"
"Kentucky","34","27-7","2518","74.1",NA,NA,"2518","74.1","1989","58.5","15.6",NA,NA,NA,"446","128","28.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"396","11.6","529","15.6",2020,"27","7"
"Louisiana Tech","32","23-9","2363","73.8",NA,NA,"2363","73.8","2069","64.7","9.2","863","2000","43.2","554","152","27.4",NA,NA,NA,NA,NA,NA,NA,NA,"1418","44.3","1230","38.4","5.9",NA,NA,NA,NA,NA,NA,NA,NA,2020,"23","9"
"South Dakota St.","33","22-11","2430","73.6",NA,NA,"2430","73.6","2050","62.1","11.5","835","1806","46.2",NA,NA,NA,"259","7.8","259","678","38.2",NA,NA,NA,NA,NA,NA,NA,NA,"546","16.5",NA,NA,NA,NA,NA,NA,2020,"22","11"
"Texas","33","22-11","2424","73.5",NA,NA,"2424","73.5","2128","64.5","9.0",NA,NA,NA,NA,NA,NA,NA,NA,"206","566","36.4",NA,NA,NA,"1403","42.5","1243","37.7","4.8",NA,NA,"199","6.0",NA,NA,NA,NA,2020,"22","11"
"Bowling Green","34","27-7","2495","73.4",NA,NA,"2495","73.4","2056","60.5","12.9","843","1977","42.6",NA,NA,NA,"284","8.4","284","733","38.7","525","697","75.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"532","15.6",2020,"27","7"
"Fresno St.","34","27-7","2479","72.9",NA,NA,"2479","72.9","2068","60.8","12.1",NA,NA,NA,NA,NA,NA,"301","8.9","301","854","35.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"347","10.2","534","15.7",2020,"27","7"
"Oklahoma St.","35","24-11","2542","72.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"438","12.5",2020,"24","11"
"Xavier","32","29-3","2318","72.4","1842","57.6","2318","72.4","1842","57.6","14.9","868","1939","44.8",NA,NA,NA,NA,NA,"193","543","35.5",NA,NA,NA,"1415","44.2","1057","33.0","11.2","506","15.8","171","5.3",NA,NA,NA,NA,2020,"29","3"
"TCU","31","22-9","2235","72.1",NA,NA,"2235","72.1","1876","60.5","11.6",NA,NA,NA,"631","181","28.7","214","6.9","214","603","35.5","427","567","75.3",NA,NA,NA,NA,NA,"476","15.4",NA,NA,NA,NA,NA,NA,2020,"22","9"
"Montana St.","32","18-14","2306","72.1",NA,NA,NA,NA,NA,NA,NA,"866","2007","43.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"173","5.4",NA,NA,NA,NA,2020,"18","14"
"Syracuse","34","24-10","2448","72.0",NA,NA,"2448","72.0","2029","59.7","12.3",NA,NA,NA,"751","215","28.6",NA,NA,NA,NA,NA,NA,NA,NA,"1552","45.6","1225","36.0","9.6",NA,NA,NA,NA,NA,NA,NA,NA,2020,"24","10"
"Eastern Mich.","31","22-9","2227","71.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"362","11.7",NA,NA,2020,"22","9"
"Cal Poly","29","18-11","2081","71.8",NA,NA,NA,NA,NA,NA,NA,"775","1727","44.9",NA,NA,NA,NA,NA,"167","430","38.8",NA,NA,NA,NA,NA,NA,NA,NA,"531","18.3",NA,NA,NA,NA,NA,NA,2020,"18","11"
"N.C. A&T","33","23-10","2368","71.8",NA,NA,NA,NA,NA,NA,NA,"840","1948","43.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,"23","10"
"Sam Houston St.","29","11-18","2078","71.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"469","16.2",NA,NA,"297","10.2",NA,NA,2020,"11","18"
"Central Mich.","30","12-18","2149","71.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"222","7.4",NA,NA,NA,"463","624","74.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"347","11.6",NA,NA,2020,"12","18"
"East Carolina","34","23-11","2430","71.5",NA,NA,NA,NA,NA,NA,NA,"868","1901","45.7",NA,NA,NA,NA,NA,"187","497","37.6",NA,NA,NA,"1347","39.6","1186","34.9","4.7","542","15.9",NA,NA,NA,NA,NA,NA,2020,"23","11"
"Green Bay","33","28-5","2355","71.4","1869","56.6","2355","71.4","1869","56.6","14.7","837","1815","46.1",NA,NA,NA,NA,NA,"206","575","35.8","475","622","76.4",NA,NA,NA,NA,NA,"602","18.2",NA,NA,"387","11.7",NA,NA,2020,"28","5"
"Baylor","34","25-9","2425","71.3","1907","56.1","2425","71.3","1907","56.1","15.2","879","1902","46.2","690","190","27.5",NA,NA,NA,NA,NA,NA,NA,NA,"1466","43.1","1183","34.8","8.3","502","14.8","250","7.4",NA,NA,NA,NA,2020,"25","9"
"Mississippi","32","17-15","2282","71.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"233","7.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"451","14.1",2020,"17","15"
"Duke","34","29-5","2423","71.3","1851","54.4","2423","71.3","1851","54.4","16.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1465","43.1","1161","34.1","8.9",NA,NA,"179","5.3","451","13.3",NA,NA,2020,"29","5"
"Oklahoma","35","25-10","2494","71.3",NA,NA,NA,NA,NA,NA,NA,"934","2182","42.8",NA,NA,NA,NA,NA,NA,NA,NA,"455","622","73.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,"25","10"
"Dayton","33","25-8","2350","71.2",NA,NA,"2350","71.2","1976","59.9","11.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1402","42.5","1211","36.7","5.8","491","14.9","149","4.5",NA,NA,NA,NA,2020,"25","8"
"James Madison","33","26-7","2337","70.8",NA,NA,"2337","70.8","2019","61.2","9.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1444","43.8","1241","37.6","6.2",NA,NA,NA,NA,NA,NA,NA,NA,2020,"26","7"
"Murray St.","30","13-17","2122","70.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"489","141","28.8","230","7.7","230","652","35.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"471","15.7",2020,"13","17"
"Mississippi St.","33","21-12","2334","70.7",NA,NA,"2334","70.7","1993","60.4","10.3",NA,NA,NA,NA,NA,NA,"235","7.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"488","14.8",NA,NA,NA,NA,"518","15.7",2020,"21","12"
"Princeton","29","26-3","2051","70.7","1520","52.4","2051","70.7","1520","52.4","18.3","784","1784","43.9","424","116","27.4",NA,NA,"158","445","35.5",NA,NA,NA,"1187","40.9","1027","35.4","5.5",NA,NA,"133","4.6",NA,NA,"415","14.3",2020,"26","3"
"Boise St.","31","19-12","2181","70.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,"19","12"
"St. John's (NY)","32","25-7","2247","70.2","1846","57.7","2247","70.2","1846","57.7","12.5",NA,NA,NA,"421","115","27.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"481","15.0",2020,"25","7"
"Illinois St.","33","26-7","2316","70.2",NA,NA,"2316","70.2","2004","60.7","9.5","831","1859","44.7",NA,NA,NA,NA,NA,"189","533","35.5","465","574","81.0","1293","39.2","1100","33.3","5.8",NA,NA,NA,NA,NA,NA,"507","15.4",2020,"26","7"
"Maryland","33","21-12","2316","70.2",NA,NA,NA,NA,NA,NA,NA,"854","1956","43.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1453","44.0","1140","34.5","9.5",NA,NA,NA,NA,NA,NA,NA,NA,2020,"21","12"
